Gene stable ID	Gene stable ID version	Transcript stable ID	Transcript stable ID version	dN with Rat	dS with Rat
ENSMUSG00000076357	ENSMUSG00000076357.2	ENSMUST00000102402	ENSMUST00000102402.2		
ENSMUSG00000096785	ENSMUSG00000096785.1	ENSMUST00000178128	ENSMUST00000178128.1		
ENSMUSG00000088713	ENSMUSG00000088713.1	ENSMUST00000158088	ENSMUST00000158088.1		
ENSMUSG00000087848	ENSMUSG00000087848.1	ENSMUST00000157223	ENSMUST00000157223.1		
ENSMUSG00000077469	ENSMUSG00000077469.1	ENSMUST00000104281	ENSMUST00000104281.1		
ENSMUSG00000088748	ENSMUSG00000088748.1	ENSMUST00000158123	ENSMUST00000158123.1		
ENSMUSG00000070166	ENSMUSG00000070166.1	ENSMUST00000093657	ENSMUST00000093657.1		
ENSMUSG00000074837	ENSMUSG00000074837.2	ENSMUST00000099418	ENSMUST00000099418.2		
ENSMUSG00000088278	ENSMUSG00000088278.1	ENSMUST00000157653	ENSMUST00000157653.1		
ENSMUSG00000092732	ENSMUSG00000092732.1	ENSMUST00000174991	ENSMUST00000174991.1		
ENSMUSG00000092732	ENSMUSG00000092732.1	ENSMUST00000174991	ENSMUST00000174991.1		
ENSMUSG00000064590	ENSMUSG00000064590.1	ENSMUST00000082656	ENSMUST00000082656.1		
ENSMUSG00000088506	ENSMUSG00000088506.1	ENSMUST00000157881	ENSMUST00000157881.1		
ENSMUSG00000088506	ENSMUSG00000088506.1	ENSMUST00000157881	ENSMUST00000157881.1		
ENSMUSG00000088506	ENSMUSG00000088506.1	ENSMUST00000157881	ENSMUST00000157881.1		
ENSMUSG00000087947	ENSMUSG00000087947.1	ENSMUST00000157322	ENSMUST00000157322.1		
ENSMUSG00000088779	ENSMUSG00000088779.1	ENSMUST00000158154	ENSMUST00000158154.1		
ENSMUSG00000094369	ENSMUSG00000094369.1	ENSMUST00000178099	ENSMUST00000178099.1		
ENSMUSG00000104848	ENSMUSG00000104848.1	ENSMUST00000196259	ENSMUST00000196259.1		
ENSMUSG00000096651	ENSMUSG00000096651.1	ENSMUST00000116917	ENSMUST00000116917.1		
ENSMUSG00000096359	ENSMUSG00000096359.1	ENSMUST00000178367	ENSMUST00000178367.1		
ENSMUSG00000105908	ENSMUSG00000105908.1	ENSMUST00000195888	ENSMUST00000195888.1		
ENSMUSG00000094275	ENSMUSG00000094275.1	ENSMUST00000177655	ENSMUST00000177655.1		
ENSMUSG00000098262	ENSMUSG00000098262.1	ENSMUST00000184872	ENSMUST00000184872.1		
ENSMUSG00000095186	ENSMUSG00000095186.1	ENSMUST00000099046	ENSMUST00000099046.3		
ENSMUSG00000065845	ENSMUSG00000065845.1	ENSMUST00000083911	ENSMUST00000083911.1		
ENSMUSG00000089118	ENSMUSG00000089118.1	ENSMUST00000158493	ENSMUST00000158493.1		
ENSMUSG00000098486	ENSMUSG00000098486.1	ENSMUST00000184747	ENSMUST00000184747.1		
ENSMUSG00000088766	ENSMUSG00000088766.1	ENSMUST00000158141	ENSMUST00000158141.1		
ENSMUSG00000065609	ENSMUSG00000065609.1	ENSMUST00000083675	ENSMUST00000083675.1		
ENSMUSG00000046747	ENSMUSG00000046747.8	ENSMUST00000061934	ENSMUST00000061934.8		
ENSMUSG00000093105	ENSMUSG00000093105.1	ENSMUST00000175364	ENSMUST00000175364.1		
ENSMUSG00000065807	ENSMUSG00000065807.1	ENSMUST00000083873	ENSMUST00000083873.1		
ENSMUSG00000089610	ENSMUSG00000089610.1	ENSMUST00000158985	ENSMUST00000158985.1		
ENSMUSG00000077312	ENSMUSG00000077312.1	ENSMUST00000104124	ENSMUST00000104124.1		
ENSMUSG00000065424	ENSMUSG00000065424.2	ENSMUST00000083490	ENSMUST00000083490.2		
ENSMUSG00000065104	ENSMUSG00000065104.1	ENSMUST00000083170	ENSMUST00000083170.1		
ENSMUSG00000095769	ENSMUSG00000095769.1	ENSMUST00000179284	ENSMUST00000179284.1		
ENSMUSG00000089028	ENSMUSG00000089028.1	ENSMUST00000158403	ENSMUST00000158403.1		
ENSMUSG00000064792	ENSMUSG00000064792.1	ENSMUST00000082858	ENSMUST00000082858.1		
ENSMUSG00000099159	ENSMUSG00000099159.1	ENSMUST00000184174	ENSMUST00000184174.1		
ENSMUSG00000089211	ENSMUSG00000089211.1	ENSMUST00000158586	ENSMUST00000158586.1		
ENSMUSG00000116057	ENSMUSG00000116057.1	ENSMUST00000080253	ENSMUST00000080253.4		
ENSMUSG00000080655	ENSMUSG00000080655.1	ENSMUST00000117005	ENSMUST00000117005.1		
ENSMUSG00000093173	ENSMUSG00000093173.1	ENSMUST00000175432	ENSMUST00000175432.1		
ENSMUSG00000093919	ENSMUSG00000093919.1	ENSMUST00000179197	ENSMUST00000179197.1		
ENSMUSG00000092852	ENSMUSG00000092852.1	ENSMUST00000175111	ENSMUST00000175111.1		
ENSMUSG00000105399	ENSMUSG00000105399.1	ENSMUST00000198115	ENSMUST00000198115.1		
ENSMUSG00000105236	ENSMUSG00000105236.1	ENSMUST00000196731	ENSMUST00000196731.1		
ENSMUSG00000064417	ENSMUSG00000064417.1	ENSMUST00000082483	ENSMUST00000082483.1		
ENSMUSG00000094129	ENSMUSG00000094129.1	ENSMUST00000178607	ENSMUST00000178607.1		
ENSMUSG00000105435	ENSMUSG00000105435.1	ENSMUST00000200417	ENSMUST00000200417.1		
ENSMUSG00000064939	ENSMUSG00000064939.1	ENSMUST00000083005	ENSMUST00000083005.1		
ENSMUSG00000072898	ENSMUSG00000072898.3	ENSMUST00000101158	ENSMUST00000101158.3		
ENSMUSG00000088705	ENSMUSG00000088705.1	ENSMUST00000158080	ENSMUST00000158080.1		
ENSMUSG00000088037	ENSMUSG00000088037.1	ENSMUST00000157412	ENSMUST00000157412.1		
ENSMUSG00000065907	ENSMUSG00000065907.1	ENSMUST00000083973	ENSMUST00000083973.1		
ENSMUSG00000077356	ENSMUSG00000077356.1	ENSMUST00000104168	ENSMUST00000104168.1		
ENSMUSG00000087717	ENSMUSG00000087717.1	ENSMUST00000157092	ENSMUST00000157092.1		
ENSMUSG00000088165	ENSMUSG00000088165.1	ENSMUST00000157540	ENSMUST00000157540.1		
ENSMUSG00000074970	ENSMUSG00000074970.1	ENSMUST00000099624	ENSMUST00000099624.1		
ENSMUSG00000089004	ENSMUSG00000089004.1	ENSMUST00000158379	ENSMUST00000158379.1		
ENSMUSG00000094175	ENSMUSG00000094175.1	ENSMUST00000116896	ENSMUST00000116896.1		
ENSMUSG00000094456	ENSMUSG00000094456.1	ENSMUST00000175382	ENSMUST00000175382.1		
ENSMUSG00000095175	ENSMUSG00000095175.1	ENSMUST00000157467	ENSMUST00000157467.1		
ENSMUSG00000065385	ENSMUSG00000065385.1	ENSMUST00000083451	ENSMUST00000083451.1		
ENSMUSG00000065944	ENSMUSG00000065944.1	ENSMUST00000084010	ENSMUST00000084010.1		
ENSMUSG00000065944	ENSMUSG00000065944.1	ENSMUST00000084010	ENSMUST00000084010.1		
ENSMUSG00000065944	ENSMUSG00000065944.1	ENSMUST00000084010	ENSMUST00000084010.1		
ENSMUSG00000092834	ENSMUSG00000092834.1	ENSMUST00000175093	ENSMUST00000175093.1		
ENSMUSG00000105513	ENSMUSG00000105513.1	ENSMUST00000198810	ENSMUST00000198810.1		
ENSMUSG00000089195	ENSMUSG00000089195.1	ENSMUST00000158570	ENSMUST00000158570.1		
ENSMUSG00000105210	ENSMUSG00000105210.1	ENSMUST00000200030	ENSMUST00000200030.1		
ENSMUSG00000089560	ENSMUSG00000089560.1	ENSMUST00000158935	ENSMUST00000158935.1		
ENSMUSG00000096185	ENSMUSG00000096185.1	ENSMUST00000179342	ENSMUST00000179342.1		
ENSMUSG00000094161	ENSMUSG00000094161.1	ENSMUST00000179522	ENSMUST00000179522.1		
ENSMUSG00000095205	ENSMUSG00000095205.1	ENSMUST00000175580	ENSMUST00000175580.1		
ENSMUSG00000095205	ENSMUSG00000095205.1	ENSMUST00000175580	ENSMUST00000175580.1		
ENSMUSG00000099331	ENSMUSG00000099331.1	ENSMUST00000183384	ENSMUST00000183384.1		
ENSMUSG00000088479	ENSMUSG00000088479.1	ENSMUST00000157854	ENSMUST00000157854.1		
ENSMUSG00000099300	ENSMUSG00000099300.1	ENSMUST00000183541	ENSMUST00000183541.1		
ENSMUSG00000095744	ENSMUSG00000095744.1	ENSMUST00000158902	ENSMUST00000158902.1		
ENSMUSG00000064612	ENSMUSG00000064612.2	ENSMUST00000082678	ENSMUST00000082678.2		
ENSMUSG00000093279	ENSMUSG00000093279.1	ENSMUST00000175538	ENSMUST00000175538.1		
ENSMUSG00000077337	ENSMUSG00000077337.1	ENSMUST00000104149	ENSMUST00000104149.1		
ENSMUSG00000065726	ENSMUSG00000065726.1	ENSMUST00000083792	ENSMUST00000083792.1		
ENSMUSG00000065191	ENSMUSG00000065191.1	ENSMUST00000083257	ENSMUST00000083257.1		
ENSMUSG00000065191	ENSMUSG00000065191.1	ENSMUST00000083257	ENSMUST00000083257.1		
ENSMUSG00000106014	ENSMUSG00000106014.1	ENSMUST00000195891	ENSMUST00000195891.1		
ENSMUSG00000065669	ENSMUSG00000065669.1	ENSMUST00000083735	ENSMUST00000083735.1		
ENSMUSG00000065669	ENSMUSG00000065669.1	ENSMUST00000083735	ENSMUST00000083735.1		
ENSMUSG00000065640	ENSMUSG00000065640.1	ENSMUST00000083706	ENSMUST00000083706.1		
ENSMUSG00000096083	ENSMUSG00000096083.1	ENSMUST00000178750	ENSMUST00000178750.1		
ENSMUSG00000098575	ENSMUSG00000098575.1	ENSMUST00000183963	ENSMUST00000183963.1		
ENSMUSG00000065597	ENSMUSG00000065597.1	ENSMUST00000083663	ENSMUST00000083663.1		
ENSMUSG00000084532	ENSMUSG00000084532.1	ENSMUST00000122583	ENSMUST00000122583.1		
ENSMUSG00000087715	ENSMUSG00000087715.1	ENSMUST00000157090	ENSMUST00000157090.1		
ENSMUSG00000065291	ENSMUSG00000065291.1	ENSMUST00000083357	ENSMUST00000083357.1		
ENSMUSG00000088058	ENSMUSG00000088058.1	ENSMUST00000157433	ENSMUST00000157433.1		
ENSMUSG00000064540	ENSMUSG00000064540.1	ENSMUST00000082606	ENSMUST00000082606.1		
ENSMUSG00000064780	ENSMUSG00000064780.1	ENSMUST00000082846	ENSMUST00000082846.1		
ENSMUSG00000084691	ENSMUSG00000084691.1	ENSMUST00000122742	ENSMUST00000122742.1		
ENSMUSG00000096659	ENSMUSG00000096659.1	ENSMUST00000101973	ENSMUST00000101973.1		
ENSMUSG00000096659	ENSMUSG00000096659.1	ENSMUST00000101973	ENSMUST00000101973.1		
ENSMUSG00000063905	ENSMUSG00000063905.2	ENSMUST00000081471	ENSMUST00000081471.2		
ENSMUSG00000088484	ENSMUSG00000088484.1	ENSMUST00000157859	ENSMUST00000157859.1		
ENSMUSG00000080539	ENSMUSG00000080539.1	ENSMUST00000116889	ENSMUST00000116889.1		
ENSMUSG00000092866	ENSMUSG00000092866.1	ENSMUST00000175125	ENSMUST00000175125.1		
ENSMUSG00000095281	ENSMUSG00000095281.1	ENSMUST00000178461	ENSMUST00000178461.1		
ENSMUSG00000095703	ENSMUSG00000095703.1	ENSMUST00000179245	ENSMUST00000179245.1		
ENSMUSG00000084459	ENSMUSG00000084459.1	ENSMUST00000122510	ENSMUST00000122510.1		
ENSMUSG00000076303	ENSMUSG00000076303.1	ENSMUST00000102348	ENSMUST00000102348.1		
ENSMUSG00000077846	ENSMUSG00000077846.1	ENSMUST00000104654	ENSMUST00000104654.1		
ENSMUSG00000084641	ENSMUSG00000084641.1	ENSMUST00000122692	ENSMUST00000122692.1		
ENSMUSG00000070130	ENSMUSG00000070130.1	ENSMUST00000093622	ENSMUST00000093622.1		
ENSMUSG00000088843	ENSMUSG00000088843.1	ENSMUST00000158218	ENSMUST00000158218.1		
ENSMUSG00000099291	ENSMUSG00000099291.1	ENSMUST00000093738	ENSMUST00000093738.2		
ENSMUSG00000099291	ENSMUSG00000099291.1	ENSMUST00000093738	ENSMUST00000093738.2		
ENSMUSG00000099291	ENSMUSG00000099291.1	ENSMUST00000093738	ENSMUST00000093738.2		
ENSMUSG00000093242	ENSMUSG00000093242.1	ENSMUST00000175501	ENSMUST00000175501.1		
ENSMUSG00000099124	ENSMUSG00000099124.1	ENSMUST00000184773	ENSMUST00000184773.1		
ENSMUSG00000088696	ENSMUSG00000088696.1	ENSMUST00000158071	ENSMUST00000158071.1		
ENSMUSG00000088696	ENSMUSG00000088696.1	ENSMUST00000158071	ENSMUST00000158071.1		
ENSMUSG00000088696	ENSMUSG00000088696.1	ENSMUST00000158071	ENSMUST00000158071.1		
ENSMUSG00000088696	ENSMUSG00000088696.1	ENSMUST00000158071	ENSMUST00000158071.1		
ENSMUSG00000088696	ENSMUSG00000088696.1	ENSMUST00000158071	ENSMUST00000158071.1		
ENSMUSG00000088696	ENSMUSG00000088696.1	ENSMUST00000158071	ENSMUST00000158071.1		
ENSMUSG00000088696	ENSMUSG00000088696.1	ENSMUST00000158071	ENSMUST00000158071.1		
ENSMUSG00000088437	ENSMUSG00000088437.1	ENSMUST00000157812	ENSMUST00000157812.1		
ENSMUSG00000089350	ENSMUSG00000089350.1	ENSMUST00000158725	ENSMUST00000158725.1		
ENSMUSG00000089471	ENSMUSG00000089471.1	ENSMUST00000158846	ENSMUST00000158846.1		
ENSMUSG00000089546	ENSMUSG00000089546.1	ENSMUST00000158921	ENSMUST00000158921.1		
ENSMUSG00000088229	ENSMUSG00000088229.1	ENSMUST00000157604	ENSMUST00000157604.1		
ENSMUSG00000088008	ENSMUSG00000088008.1	ENSMUST00000157383	ENSMUST00000157383.1		
ENSMUSG00000076972	ENSMUSG00000076972.2	ENSMUST00000103784	ENSMUST00000103784.2		
ENSMUSG00000088149	ENSMUSG00000088149.1	ENSMUST00000157524	ENSMUST00000157524.1		
ENSMUSG00000089358	ENSMUSG00000089358.1	ENSMUST00000158733	ENSMUST00000158733.1		
ENSMUSG00000077483	ENSMUSG00000077483.1	ENSMUST00000104295	ENSMUST00000104295.1		
ENSMUSG00000088175	ENSMUSG00000088175.1	ENSMUST00000157550	ENSMUST00000157550.1		
ENSMUSG00000080486	ENSMUSG00000080486.1	ENSMUST00000116836	ENSMUST00000116836.1		
ENSMUSG00000092714	ENSMUSG00000092714.1	ENSMUST00000174973	ENSMUST00000174973.1		
ENSMUSG00000093276	ENSMUSG00000093276.1	ENSMUST00000175535	ENSMUST00000175535.1		
ENSMUSG00000064726	ENSMUSG00000064726.1	ENSMUST00000082792	ENSMUST00000082792.1		
ENSMUSG00000087878	ENSMUSG00000087878.1	ENSMUST00000157253	ENSMUST00000157253.1		
ENSMUSG00000098529	ENSMUSG00000098529.1	ENSMUST00000184868	ENSMUST00000184868.1		
ENSMUSG00000098478	ENSMUSG00000098478.1	ENSMUST00000183529	ENSMUST00000183529.1		
ENSMUSG00000065457	ENSMUSG00000065457.3	ENSMUST00000083523	ENSMUST00000083523.3		
ENSMUSG00000106585	ENSMUSG00000106585.1	ENSMUST00000199731	ENSMUST00000199731.1		
ENSMUSG00000105100	ENSMUSG00000105100.1	ENSMUST00000197048	ENSMUST00000197048.1		
ENSMUSG00000077931	ENSMUSG00000077931.1	ENSMUST00000104738	ENSMUST00000104738.1		
ENSMUSG00000094890	ENSMUSG00000094890.1	ENSMUST00000178576	ENSMUST00000178576.1		
ENSMUSG00000094890	ENSMUSG00000094890.1	ENSMUST00000178576	ENSMUST00000178576.1		
ENSMUSG00000094890	ENSMUSG00000094890.1	ENSMUST00000178576	ENSMUST00000178576.1		
ENSMUSG00000094890	ENSMUSG00000094890.1	ENSMUST00000178576	ENSMUST00000178576.1		
ENSMUSG00000094890	ENSMUSG00000094890.1	ENSMUST00000178576	ENSMUST00000178576.1		
ENSMUSG00000094890	ENSMUSG00000094890.1	ENSMUST00000178576	ENSMUST00000178576.1		
ENSMUSG00000094890	ENSMUSG00000094890.1	ENSMUST00000178576	ENSMUST00000178576.1		
ENSMUSG00000094890	ENSMUSG00000094890.1	ENSMUST00000178576	ENSMUST00000178576.1		
ENSMUSG00000094890	ENSMUSG00000094890.1	ENSMUST00000178576	ENSMUST00000178576.1		
ENSMUSG00000094890	ENSMUSG00000094890.1	ENSMUST00000178576	ENSMUST00000178576.1		
ENSMUSG00000094890	ENSMUSG00000094890.1	ENSMUST00000178576	ENSMUST00000178576.1		
ENSMUSG00000094890	ENSMUSG00000094890.1	ENSMUST00000178576	ENSMUST00000178576.1		
ENSMUSG00000094890	ENSMUSG00000094890.1	ENSMUST00000178576	ENSMUST00000178576.1		
ENSMUSG00000094890	ENSMUSG00000094890.1	ENSMUST00000178576	ENSMUST00000178576.1		
ENSMUSG00000094890	ENSMUSG00000094890.1	ENSMUST00000178576	ENSMUST00000178576.1		
ENSMUSG00000094890	ENSMUSG00000094890.1	ENSMUST00000178576	ENSMUST00000178576.1		
ENSMUSG00000094890	ENSMUSG00000094890.1	ENSMUST00000178576	ENSMUST00000178576.1		
ENSMUSG00000094890	ENSMUSG00000094890.1	ENSMUST00000178576	ENSMUST00000178576.1		
ENSMUSG00000094890	ENSMUSG00000094890.1	ENSMUST00000178576	ENSMUST00000178576.1		
ENSMUSG00000094890	ENSMUSG00000094890.1	ENSMUST00000178576	ENSMUST00000178576.1		
ENSMUSG00000094890	ENSMUSG00000094890.1	ENSMUST00000178576	ENSMUST00000178576.1		
ENSMUSG00000094890	ENSMUSG00000094890.1	ENSMUST00000178576	ENSMUST00000178576.1		
ENSMUSG00000094890	ENSMUSG00000094890.1	ENSMUST00000178576	ENSMUST00000178576.1		
ENSMUSG00000094890	ENSMUSG00000094890.1	ENSMUST00000178576	ENSMUST00000178576.1		
ENSMUSG00000094890	ENSMUSG00000094890.1	ENSMUST00000178576	ENSMUST00000178576.1		
ENSMUSG00000094890	ENSMUSG00000094890.1	ENSMUST00000178576	ENSMUST00000178576.1		
ENSMUSG00000094890	ENSMUSG00000094890.1	ENSMUST00000178576	ENSMUST00000178576.1		
ENSMUSG00000094890	ENSMUSG00000094890.1	ENSMUST00000178576	ENSMUST00000178576.1		
ENSMUSG00000094890	ENSMUSG00000094890.1	ENSMUST00000178576	ENSMUST00000178576.1		
ENSMUSG00000094890	ENSMUSG00000094890.1	ENSMUST00000178576	ENSMUST00000178576.1		
ENSMUSG00000094890	ENSMUSG00000094890.1	ENSMUST00000178576	ENSMUST00000178576.1		
ENSMUSG00000094890	ENSMUSG00000094890.1	ENSMUST00000178576	ENSMUST00000178576.1		
ENSMUSG00000094890	ENSMUSG00000094890.1	ENSMUST00000178576	ENSMUST00000178576.1		
ENSMUSG00000094890	ENSMUSG00000094890.1	ENSMUST00000178576	ENSMUST00000178576.1		
ENSMUSG00000089324	ENSMUSG00000089324.1	ENSMUST00000158699	ENSMUST00000158699.1		
ENSMUSG00000098858	ENSMUSG00000098858.1	ENSMUST00000183649	ENSMUST00000183649.1		
ENSMUSG00000064936	ENSMUSG00000064936.1	ENSMUST00000083002	ENSMUST00000083002.1		
ENSMUSG00000098876	ENSMUSG00000098876.1	ENSMUST00000183639	ENSMUST00000183639.1		
ENSMUSG00000098686	ENSMUSG00000098686.1	ENSMUST00000184185	ENSMUST00000184185.1		
ENSMUSG00000087789	ENSMUSG00000087789.1	ENSMUST00000157164	ENSMUST00000157164.1		
ENSMUSG00000080543	ENSMUSG00000080543.1	ENSMUST00000116893	ENSMUST00000116893.1		
ENSMUSG00000084673	ENSMUSG00000084673.1	ENSMUST00000122724	ENSMUST00000122724.1		
ENSMUSG00000093189	ENSMUSG00000093189.1	ENSMUST00000175448	ENSMUST00000175448.1		
ENSMUSG00000092720	ENSMUSG00000092720.1	ENSMUST00000174979	ENSMUST00000174979.1		
ENSMUSG00000087895	ENSMUSG00000087895.1	ENSMUST00000157270	ENSMUST00000157270.1		
ENSMUSG00000095396	ENSMUSG00000095396.1	ENSMUST00000179484	ENSMUST00000179484.1		
ENSMUSG00000099176	ENSMUSG00000099176.1	ENSMUST00000184140	ENSMUST00000184140.1		
ENSMUSG00000088709	ENSMUSG00000088709.1	ENSMUST00000158084	ENSMUST00000158084.1		
ENSMUSG00000096046	ENSMUSG00000096046.1	ENSMUST00000180331	ENSMUST00000180331.1		
ENSMUSG00000065259	ENSMUSG00000065259.1	ENSMUST00000083325	ENSMUST00000083325.1		
ENSMUSG00000065259	ENSMUSG00000065259.1	ENSMUST00000083325	ENSMUST00000083325.1		
ENSMUSG00000064536	ENSMUSG00000064536.1	ENSMUST00000082602	ENSMUST00000082602.1		
ENSMUSG00000095504	ENSMUSG00000095504.1	ENSMUST00000180108	ENSMUST00000180108.1		
ENSMUSG00000089372	ENSMUSG00000089372.1	ENSMUST00000158747	ENSMUST00000158747.1		
ENSMUSG00000092758	ENSMUSG00000092758.1	ENSMUST00000175017	ENSMUST00000175017.1		
ENSMUSG00000077462	ENSMUSG00000077462.1	ENSMUST00000104274	ENSMUST00000104274.1		
ENSMUSG00000096815	ENSMUSG00000096815.1	ENSMUST00000179931	ENSMUST00000179931.1		
ENSMUSG00000065592	ENSMUSG00000065592.2	ENSMUST00000083658	ENSMUST00000083658.2		
ENSMUSG00000094972	ENSMUSG00000094972.1	ENSMUST00000157239	ENSMUST00000157239.1		
ENSMUSG00000098868	ENSMUSG00000098868.1	ENSMUST00000184396	ENSMUST00000184396.1		
ENSMUSG00000096412	ENSMUSG00000096412.1	ENSMUST00000178217	ENSMUST00000178217.1		
ENSMUSG00000065800	ENSMUSG00000065800.1	ENSMUST00000083866	ENSMUST00000083866.1		
ENSMUSG00000093780	ENSMUSG00000093780.1	ENSMUST00000177427	ENSMUST00000177427.1		
ENSMUSG00000098677	ENSMUSG00000098677.1	ENSMUST00000183858	ENSMUST00000183858.1		
ENSMUSG00000092891	ENSMUSG00000092891.1	ENSMUST00000175150	ENSMUST00000175150.1		
ENSMUSG00000065411	ENSMUSG00000065411.2	ENSMUST00000083477	ENSMUST00000083477.2		
ENSMUSG00000095188	ENSMUSG00000095188.1	ENSMUST00000104784	ENSMUST00000104784.1		
ENSMUSG00000088143	ENSMUSG00000088143.1	ENSMUST00000157518	ENSMUST00000157518.1		
ENSMUSG00000070081	ENSMUSG00000070081.2	ENSMUST00000093573	ENSMUST00000093573.2		
ENSMUSG00000088356	ENSMUSG00000088356.1	ENSMUST00000157731	ENSMUST00000157731.1		
ENSMUSG00000094977	ENSMUSG00000094977.1	ENSMUST00000177746	ENSMUST00000177746.1		
ENSMUSG00000092706	ENSMUSG00000092706.1	ENSMUST00000174965	ENSMUST00000174965.1		
ENSMUSG00000080336	ENSMUSG00000080336.1	ENSMUST00000116686	ENSMUST00000116686.1		
ENSMUSG00000092653	ENSMUSG00000092653.2	ENSMUST00000174912	ENSMUST00000174912.2		
ENSMUSG00000088260	ENSMUSG00000088260.1	ENSMUST00000157635	ENSMUST00000157635.1		
ENSMUSG00000089617	ENSMUSG00000089617.1	ENSMUST00000158992	ENSMUST00000158992.1		
ENSMUSG00000088635	ENSMUSG00000088635.1	ENSMUST00000158010	ENSMUST00000158010.1		
ENSMUSG00000093734	ENSMUSG00000093734.1	ENSMUST00000177296	ENSMUST00000177296.1		
ENSMUSG00000077588	ENSMUSG00000077588.1	ENSMUST00000104400	ENSMUST00000104400.1		
ENSMUSG00000076240	ENSMUSG00000076240.1	ENSMUST00000102285	ENSMUST00000102285.1		
ENSMUSG00000088094	ENSMUSG00000088094.1	ENSMUST00000157469	ENSMUST00000157469.1		
ENSMUSG00000096371	ENSMUSG00000096371.1	ENSMUST00000178930	ENSMUST00000178930.1		
ENSMUSG00000104589	ENSMUSG00000104589.1	ENSMUST00000196448	ENSMUST00000196448.1		
ENSMUSG00000077292	ENSMUSG00000077292.1	ENSMUST00000104104	ENSMUST00000104104.1		
ENSMUSG00000077369	ENSMUSG00000077369.1	ENSMUST00000104181	ENSMUST00000104181.1		
ENSMUSG00000065296	ENSMUSG00000065296.1	ENSMUST00000083362	ENSMUST00000083362.1		
ENSMUSG00000065296	ENSMUSG00000065296.1	ENSMUST00000083362	ENSMUST00000083362.1		
ENSMUSG00000065362	ENSMUSG00000065362.1	ENSMUST00000083428	ENSMUST00000083428.1		
ENSMUSG00000093829	ENSMUSG00000093829.1	ENSMUST00000179334	ENSMUST00000179334.1		
ENSMUSG00000077299	ENSMUSG00000077299.1	ENSMUST00000104111	ENSMUST00000104111.1		
ENSMUSG00000094998	ENSMUSG00000094998.1	ENSMUST00000178442	ENSMUST00000178442.1		
ENSMUSG00000093036	ENSMUSG00000093036.1	ENSMUST00000175295	ENSMUST00000175295.1		
ENSMUSG00000096300	ENSMUSG00000096300.1	ENSMUST00000179432	ENSMUST00000179432.1		
ENSMUSG00000080461	ENSMUSG00000080461.1	ENSMUST00000116811	ENSMUST00000116811.1		
ENSMUSG00000080461	ENSMUSG00000080461.1	ENSMUST00000116811	ENSMUST00000116811.1		
ENSMUSG00000095243	ENSMUSG00000095243.1	ENSMUST00000177997	ENSMUST00000177997.1		
ENSMUSG00000089625	ENSMUSG00000089625.1	ENSMUST00000159000	ENSMUST00000159000.1		
ENSMUSG00000077659	ENSMUSG00000077659.1	ENSMUST00000104471	ENSMUST00000104471.1		
ENSMUSG00000089624	ENSMUSG00000089624.1	ENSMUST00000158999	ENSMUST00000158999.1		
ENSMUSG00000106514	ENSMUSG00000106514.1	ENSMUST00000199897	ENSMUST00000199897.1		
ENSMUSG00000088597	ENSMUSG00000088597.1	ENSMUST00000157972	ENSMUST00000157972.1		
ENSMUSG00000099287	ENSMUSG00000099287.1	ENSMUST00000184023	ENSMUST00000184023.1		
ENSMUSG00000088134	ENSMUSG00000088134.1	ENSMUST00000157509	ENSMUST00000157509.1		
ENSMUSG00000077231	ENSMUSG00000077231.1	ENSMUST00000104043	ENSMUST00000104043.1		
ENSMUSG00000106418	ENSMUSG00000106418.1	ENSMUST00000195950	ENSMUST00000195950.1		
ENSMUSG00000106169	ENSMUSG00000106169.1	ENSMUST00000196776	ENSMUST00000196776.1		
ENSMUSG00000106618	ENSMUSG00000106618.1	ENSMUST00000197757	ENSMUST00000197757.1		
ENSMUSG00000094938	ENSMUSG00000094938.1	ENSMUST00000178688	ENSMUST00000178688.1		
ENSMUSG00000093280	ENSMUSG00000093280.1	ENSMUST00000175539	ENSMUST00000175539.1		
ENSMUSG00000076270	ENSMUSG00000076270.1	ENSMUST00000102315	ENSMUST00000102315.1		
ENSMUSG00000065022	ENSMUSG00000065022.1	ENSMUST00000083088	ENSMUST00000083088.1		
ENSMUSG00000065022	ENSMUSG00000065022.1	ENSMUST00000083088	ENSMUST00000083088.1		
ENSMUSG00000065022	ENSMUSG00000065022.1	ENSMUST00000083088	ENSMUST00000083088.1		
ENSMUSG00000065022	ENSMUSG00000065022.1	ENSMUST00000083088	ENSMUST00000083088.1		
ENSMUSG00000065022	ENSMUSG00000065022.1	ENSMUST00000083088	ENSMUST00000083088.1		
ENSMUSG00000087731	ENSMUSG00000087731.1	ENSMUST00000157106	ENSMUST00000157106.1		
ENSMUSG00000092763	ENSMUSG00000092763.1	ENSMUST00000175022	ENSMUST00000175022.1		
ENSMUSG00000106463	ENSMUSG00000106463.1	ENSMUST00000199842	ENSMUST00000199842.1		
ENSMUSG00000088550	ENSMUSG00000088550.1	ENSMUST00000157925	ENSMUST00000157925.1		
ENSMUSG00000098432	ENSMUSG00000098432.1	ENSMUST00000184128	ENSMUST00000184128.1		
ENSMUSG00000094514	ENSMUSG00000094514.1	ENSMUST00000178645	ENSMUST00000178645.1	0.1955	0.2899
ENSMUSG00000094514	ENSMUSG00000094514.1	ENSMUST00000178645	ENSMUST00000178645.1	0.1926	0.2911
ENSMUSG00000087929	ENSMUSG00000087929.1	ENSMUST00000157304	ENSMUST00000157304.1		
